site,temp,prec,hli,soil_Ph,soil_ZZ,soil_P,soil_TN,soil_CN,soil_Ca,soil_K,soil_Mg,,soil_Ph2,soil_susina,soil_PC1,soil_PC2
site,temp,prec,hli,Ph,LOI,P,N,LOI_N,Ca,K,Mg,,Ph2,soil_susina,soil_PC1,soil_PC2
ADA,98,535,0.607238514,7.36,4.59,27.996,1404.419,3.26825541380457,4100.5,92.78151218,158.3571717,,8.39,98.98,0.398041356856393,1.07369487889315
BAR,54,887,0.840412739,4.22,11.01,28.443,6918.379,1.59141324868152,463.7,85.00177449,48.73098763,,5.4,98.48,0.131931284832909,-1.61915090055167
CER,88,668,0.710859963,6.11,16.79,12.368,6330.175,2.65237532927605,5522.515,263.381,491.822,,5.31,94.16,-2.1488205750823,-0.395253867068907
CVI,80,699,0.704443761,6.94,7.72,47.846,2910.574,2.65239777445961,2304.8,98.20138608,40.36776609,,7.51,98.98,0.350109648491603,0.367424287477001
DUB,86,718,0.843426149,5.74,12.68,20.364,3549.125,3.57271158384109,2266.2,120.133015,249.4026131,,6.67,96.94,-0.479266133042889,-0.0387380115450192
DUC,75,880,0.670765093,4.05,6.13,17.324,2151.433,2.84926372329513,128.5,58.88372821,11.42365098,,5.18,99.16,0.979494280586551,-0.384803370126235
HIG,103,475,0.660225677,8.06,5.11,30.252,2540.585,2.01134778013725,2913.7,81.92696743,528.9019826,,8.61,99.22,0.0477966364440846,0.85990675832157
ILI,84,781,0.590659612,5.65,1.54,27.133,2164.173,0.711588214066066,939.6,93.50553693,250.1399472,,6.45,98.06,0.968104025402893,-0.00118144290347954
JAZ,82,694,0.614804491,4.62,10.46,16.893,2615.3612,3.99944757152473,1271.2,94.68663524,82.70421236,,5.93,98.46,0.142658728997049,-0.132946556426931
KOS,74,740,0.581166328,5.35,5.5,24.822,1345.468,4.08779695986824,902.2,104.1792815,136.3618932,,6.34,99.32,0.453885990946317,0.577944848717957
KYS,63,780,0.771661805,4.69,16.57,3.718,6352.844,2.6082806377742,1841.5,99.52075511,213.0512098,,5.85,96.85,-0.682978270393419,-1.33258030986809
LET,83,672,0.790800645,7.23,12.29,20.236,4007.935,3.0664169952856,3936.6,219.5124022,145.2663133,,7.87,97.8,-1.00713453123741,0.363076029011978
LOM,81,693,0.665332516,7.09,7.59,259.543,2778.644,2.73154819401118,2844.6,119.6977355,89.22007683,,7.59,99.24,0.354837965739527,1.1386369663361
MIK,96,533,0.665547911,7.52,6.11,27.832,1713.198,3.56642956622644,4500.5,124.0454962,157.9590381,,8.29,98.48,0.0338473863200018,1.1231321647809
POD,89,701,0.72601313,5.41,13.18,26.674,3277.261,4.02165100674008,20006.2,158.9271991,153.5538478,,6.47,99,-1.40914021619695,0.665868662875736
ROH,101,515,0.637708268,4.07,4.34,39.979,3398.458,1.27704976786531,149.9,49.75499548,0.624435184,,5.05,99.4,1.24982474478597,-0.827837571040471
SKL,82,630,0.716232294,5.28,8.89,13.921,3231.694,2.75087926022699,1187.3,98.41880776,116.8091805,,6.05,98.96,0.245845904530711,-0.263083366607957
SVI,81,593,0.641640426,5.9,9.07,15.251,4135.029,2.19345499148857,1160.31,122.96,329.64,,4.35,97.29,-0.202394282487905,-0.260959700043537
SVK,78,620,0.83677046,4.69,8.95,12.441,3353.378,2.66895053286567,1100.9,81.04232134,206.8167765,,5.59,98.64,0.262453311985265,-0.460600262466986
VCL,76,735,0.711224254,6.53,9.42,173.224,3195.105,2.94825991634078,1578.2,112.7273412,96.33063706,,7.19,97.94,0.20069306137608,0.57890465138809
ZUB,71,683,0.618990511,5.03,12.16,9.975,5239.779,2.32070856423525,898,68.12672001,80.77846295,,5.92,97.9,0.110209681145511,-1.0314538891532
